participantID	          group	               block	experimentBlockNumber	    condition	  trialNumber	            stimulus	    frames	            decision	     responseCorrect	          confidence	   confidenceRT	              points	         totalPoints	sumCorrectTrials	      stimulusDuration	      maskDuration	validOrInvalidTrial	
   ER05NG19_2	   LeftVertical	       PracticeBlock	                    0	           30	            1	          horizontal	        30	          horizontal	             correct	                   1	   9.753934e-01	        5.000000e-01	                   0	             1.0	          2.499600e-01	      5.007892e-01	              valid	
   ER05NG19_2	   LeftVertical	       PracticeBlock	                    0	           90	            2	          horizontal	        90	          horizontal	             correct	                   1	   6.518920e-01	        5.000000e-01	                   0	             2.0	          7.498073e-01	      5.007353e-01	              valid	
   ER05NG19_2	   LeftVertical	       PracticeBlock	                    0	           45	            3	            vertikal	        45	            vertikal	             correct	                   1	   5.426949e-01	        5.000000e-01	                   0	             3.0	          3.749817e-01	      5.007299e-01	              valid	
   ER05NG19_2	   LeftVertical	       PracticeBlock	                    0	           15	            4	          horizontal	        15	          horizontal	             correct	                   1	   3.591260e-01	        5.000000e-01	                   0	             4.0	          1.242966e-01	      5.006902e-01	              valid	
   ER05NG19_2	   LeftVertical	       PracticeBlock	                    0	           15	            5	            vertikal	        15	            vertikal	             correct	                   1	   4.770671e-01	        5.000000e-01	                   0	             5.0	          1.250667e-01	      5.001177e-01	              valid	
   ER05NG19_2	   LeftVertical	       PracticeBlock	                    0	           60	            6	            vertikal	        60	            vertikal	             correct	                   1	   7.348636e-01	        5.000000e-01	                   0	             6.0	          5.000155e-01	      5.000326e-01	              valid	
   ER05NG19_2	   LeftVertical	       PracticeBlock	                    0	           30	            7	            vertikal	        30	            vertikal	             correct	                   1	   6.764045e-01	        5.000000e-01	                   0	             7.0	          2.496902e-01	      5.007797e-01	              valid	
   ER05NG19_2	   LeftVertical	       PracticeBlock	                    0	           60	            8	          horizontal	        60	          horizontal	             correct	                   1	   5.347417e-01	        5.000000e-01	                   0	             8.0	          5.000046e-01	      5.007536e-01	              valid	
   ER05NG19_2	   LeftVertical	       PracticeBlock	                    0	           45	            9	          horizontal	        45	          horizontal	             correct	                   1	   4.426019e-01	        5.000000e-01	                   0	             9.0	          3.749167e-01	      5.002393e-01	              valid	
   ER05NG19_2	   LeftVertical	       PracticeBlock	                    0	           90	           10	            vertikal	        90	            vertikal	             correct	                   1	   5.174292e-01	        5.000000e-01	                   0	            10.0	          7.502490e-01	      5.003693e-01	              valid	
   ER05NG19_2	   LeftVertical	   FastPracticeBlock	                    0	            4	           11	          horizontal	         4	          horizontal	             correct	                   1	   5.428285e-01	        5.000000e-01	                   0	             1.0	          3.313310e-02	      5.009466e-01	              valid	
   ER05NG19_2	   LeftVertical	   FastPracticeBlock	                    0	            6	           12	          horizontal	         6	          horizontal	             correct	                   1	   7.013292e-01	        5.000000e-01	                   0	             2.0	          4.978290e-02	      5.007377e-01	              valid	
   ER05NG19_2	   LeftVertical	   FastPracticeBlock	                    0	           12	           13	          horizontal	        12	          horizontal	             correct	                   1	   4.691974e-01	        5.000000e-01	                   0	             3.0	          1.001755e-01	      4.997811e-01	              valid	
   ER05NG19_2	   LeftVertical	   FastPracticeBlock	                    0	            4	           14	            vertikal	         4	            vertikal	             correct	        7.200000e-01	   1.152309e+00	        4.216000e-01	                   0	             4.0	          3.333580e-02	      5.008056e-01	              valid	
   ER05NG19_2	   LeftVertical	   FastPracticeBlock	                    0	            6	           15	            vertikal	         6	            vertikal	             correct	        8.900000e-01	   6.012751e-01	        4.879000e-01	                   0	             5.0	          4.996550e-02	      5.007639e-01	              valid	
   ER05NG19_2	   LeftVertical	   FastPracticeBlock	                    0	            2	           16	          horizontal	         2	          horizontal	             correct	        6.300000e-01	   1.002067e+00	        3.631000e-01	                   0	             6.0	          1.663460e-02	      4.999390e-01	              valid	
   ER05NG19_2	   LeftVertical	   FastPracticeBlock	                    0	            2	           17	            vertikal	         2	            vertikal	             correct	        6.500000e-01	   7.092974e-01	        3.775000e-01	                   0	             7.0	          1.651170e-02	      5.008353e-01	              valid	
   ER05NG19_2	   LeftVertical	   FastPracticeBlock	                    0	            8	           18	          horizontal	         8	          horizontal	             correct	        9.800000e-01	   7.351499e-01	        4.996000e-01	                   0	             8.0	          6.706530e-02	      5.004710e-01	              valid	
   ER05NG19_2	   LeftVertical	   FastPracticeBlock	                    0	           12	           19	            vertikal	        12	            vertikal	             correct	                   1	   4.091453e-01	        5.000000e-01	                   0	             9.0	          9.967110e-02	      5.009218e-01	              valid	
   ER05NG19_2	   LeftVertical	   FastPracticeBlock	                    0	            8	           20	            vertikal	         8	            vertikal	             correct	                   1	   5.256653e-01	        5.000000e-01	                   0	            10.0	          6.661690e-02	      5.006061e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            3	           21	          horizontal	         3	          horizontal	             correct	        5.800000e-01	   9.105136e-01	        3.236000e-01	        3.236000e-01	             1.0	          2.503180e-02	      5.006651e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            1	           22	            vertikal	         1	          indecisive	          indecisive	        5.000000e-01	   2.926316e-01	        2.500000e-01	        5.736000e-01	             1.5	          8.257000e-03	      5.007363e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            6	           23	          horizontal	         6	          horizontal	             correct	        9.200000e-01	   5.180730e-01	        4.936000e-01	        1.067200e+00	             2.5	          4.979590e-02	      5.007430e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            4	           24	          horizontal	         4	          horizontal	             correct	        5.300000e-01	   1.043815e+00	        2.791000e-01	        1.346300e+00	             3.5	          3.339700e-02	      5.006150e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            1	           25	            vertikal	         1	          indecisive	          indecisive	        5.000000e-01	   2.261731e-01	        2.500000e-01	        1.596300e+00	             4.0	          8.406500e-03	      5.006351e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            1	           26	          horizontal	         1	          indecisive	          indecisive	        5.000000e-01	   1.423923e-01	        2.500000e-01	        1.846300e+00	             4.5	          8.172600e-03	      5.007490e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            4	           27	            vertikal	         4	            vertikal	             correct	        6.800000e-01	   5.262543e-01	        3.976000e-01	        2.243900e+00	             5.5	          3.307370e-02	      5.007094e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            6	           28	          horizontal	         6	          horizontal	             correct	        8.600000e-01	   7.183620e-01	        4.804000e-01	        2.724300e+00	             6.5	          4.994880e-02	      5.000534e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            2	           29	            vertikal	         2	          indecisive	          indecisive	        5.000000e-01	   2.008243e-01	        2.500000e-01	        2.974300e+00	             7.0	          1.645360e-02	      5.006926e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            1	           30	            vertikal	         1	          indecisive	          indecisive	        5.000000e-01	   1.674067e-01	        2.500000e-01	        3.224300e+00	             7.5	          8.460500e-03	      5.006054e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            1	           31	          horizontal	         1	          indecisive	          indecisive	        5.000000e-01	   9.234864e-02	        2.500000e-01	        3.474300e+00	             8.0	          8.164900e-03	      5.005066e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            6	           32	          horizontal	         6	          horizontal	             correct	        9.100000e-01	   9.842943e-01	        4.919000e-01	        3.966200e+00	             9.0	          4.987740e-02	      5.006558e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            4	           33	          horizontal	         4	          horizontal	             correct	        5.900000e-01	   7.432715e-01	        3.319000e-01	        4.298100e+00	            10.0	          3.350130e-02	      4.999025e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            1	           34	            vertikal	         1	          indecisive	          indecisive	        5.000000e-01	   1.094691e-01	        2.500000e-01	        4.548100e+00	            10.5	          8.189500e-03	      5.006537e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            6	           35	          horizontal	         6	          horizontal	             correct	        8.800000e-01	   8.505852e-01	        4.856000e-01	        5.033700e+00	            11.5	          5.008920e-02	      5.007279e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            3	           36	            vertikal	         3	            vertikal	             correct	        6.900000e-01	   6.594097e-01	        4.039000e-01	        5.437600e+00	            12.5	          2.502610e-02	      5.004677e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            1	           37	          horizontal	         1	          indecisive	          indecisive	        5.000000e-01	   2.012329e-01	        2.500000e-01	        5.687600e+00	            13.0	          8.311800e-03	      5.005554e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            6	           38	            vertikal	         6	            vertikal	             correct	        8.900000e-01	   8.088753e-01	        4.879000e-01	        6.175500e+00	            14.0	          4.988070e-02	      5.006063e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            3	           39	            vertikal	         3	            vertikal	             correct	        5.900000e-01	   6.765358e-01	        3.319000e-01	        6.507400e+00	            15.0	          2.492760e-02	      5.005986e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            2	           40	            vertikal	         2	            vertikal	             correct	        5.700000e-01	   7.930596e-01	        3.151000e-01	        6.822500e+00	            16.0	          1.650360e-02	      5.000707e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            6	           41	            vertikal	         6	            vertikal	             correct	        8.700000e-01	   7.841712e-01	        4.831000e-01	        7.305600e+00	            17.0	          4.993290e-02	      5.007203e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            4	           42	            vertikal	         4	            vertikal	             correct	        5.700000e-01	   8.011224e-01	        3.151000e-01	        7.620700e+00	            18.0	          3.314330e-02	      5.007226e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            6	           43	            vertikal	         6	            vertikal	             correct	        8.200000e-01	   7.506173e-01	        4.676000e-01	        8.088300e+00	            19.0	          4.998520e-02	      5.007666e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            1	           44	            vertikal	         1	          indecisive	          indecisive	        5.000000e-01	   4.350326e-01	        2.500000e-01	        8.338300e+00	            19.5	          8.445400e-03	      5.002018e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            2	           45	            vertikal	         2	          indecisive	          indecisive	        5.000000e-01	   3.010463e-01	        2.500000e-01	        8.588300e+00	            20.0	          1.677120e-02	      5.006478e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            2	           46	          horizontal	         2	          indecisive	          indecisive	        5.000000e-01	   3.262671e-01	        2.500000e-01	        8.838300e+00	            20.5	          1.681680e-02	      4.997505e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            1	           47	          horizontal	         1	          indecisive	          indecisive	        5.000000e-01	   1.928940e-01	        2.500000e-01	        9.088300e+00	            21.0	          8.336800e-03	      5.007596e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            4	           48	            vertikal	         4	            vertikal	             correct	        5.300000e-01	   6.271915e-01	        2.791000e-01	        9.367400e+00	            22.0	          3.357530e-02	      4.998948e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            2	           49	          horizontal	         2	          indecisive	          indecisive	        5.000000e-01	   2.787501e-01	        2.500000e-01	        9.617400e+00	            22.5	          1.661560e-02	      4.999899e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            4	           50	          horizontal	         4	          horizontal	             correct	        5.800000e-01	   5.174358e-01	        3.236000e-01	        9.941000e+00	            23.5	          3.329100e-02	      5.007463e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            3	           51	          horizontal	         3	          indecisive	          indecisive	        5.000000e-01	   3.509905e-01	        2.500000e-01	        1.019100e+01	            24.0	          2.490290e-02	      5.007562e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            1	           52	          horizontal	         1	          indecisive	          indecisive	        5.000000e-01	   3.512526e-01	        2.500000e-01	        1.044100e+01	            24.5	          8.046300e-03	      5.006967e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            3	           53	          horizontal	         3	          horizontal	             correct	        6.000000e-01	   5.185905e-01	        3.400000e-01	        1.078100e+01	            25.5	          2.476520e-02	      5.001358e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            1	           54	            vertikal	         1	            vertikal	             correct	        5.400000e-01	   7.195145e-01	        2.884000e-01	        1.106940e+01	            26.5	          8.300700e-03	      5.001830e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            2	           55	          horizontal	         2	          horizontal	             correct	        5.300000e-01	   8.928307e-01	        2.791000e-01	        1.134850e+01	            27.5	          1.672060e-02	      5.006354e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            6	           56	          horizontal	         6	          horizontal	             correct	        8.500000e-01	   9.588498e-01	        4.775000e-01	        1.182600e+01	            28.5	          4.978440e-02	      5.007757e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            2	           57	          horizontal	         2	            vertikal	           incorrect	        5.500000e-01	   7.007575e-01	        1.975000e-01	        1.202350e+01	            28.5	          1.656570e-02	      5.006417e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            3	           58	          horizontal	         3	          horizontal	             correct	        5.500000e-01	   6.345452e-01	        2.975000e-01	        1.232100e+01	            29.5	          2.491220e-02	      5.005825e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            6	           59	            vertikal	         6	            vertikal	             correct	        8.900000e-01	   1.085398e+00	        4.879000e-01	        1.280890e+01	            30.5	          5.022970e-02	      4.998572e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            3	           60	            vertikal	         3	            vertikal	             correct	        5.900000e-01	   6.933392e-01	        3.319000e-01	        1.314080e+01	            31.5	          2.483640e-02	      5.000863e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            3	           61	          horizontal	         3	          horizontal	             correct	        5.500000e-01	   5.683237e-01	        2.975000e-01	        1.343830e+01	            32.5	          2.506270e-02	      5.004580e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            3	           62	            vertikal	         3	          horizontal	           incorrect	        6.000000e-01	   6.842047e-01	        1.400000e-01	        1.357830e+01	            32.5	          2.498650e-02	      5.008348e-01	              valid	
   ER05NG19_2	   LeftVertical	     ExperimentBlock	                    1	            3	           63	            vertikal	         3	            vertikal	             correct	        5.900000e-01	   5.760978e-01	        3.319000e-01	        1.391020e+01	            33.5	          2.486830e-02	      5.007183e-01	              valid	
