participantID	          group	               block	experimentBlockNumber	    condition	  trialNumber	            stimulus	    frames	            decision	     responseCorrect	          confidence	   confidenceRT	              points	         totalPoints	sumCorrectTrials	      stimulusDuration	      maskDuration	validOrInvalidTrial	
   ER07LF30_3	   LeftVertical	       PracticeBlock	                    0	           15	            1	          horizontal	        15	          horizontal	             correct	        7.500000e-01	   9.176295e-01	        4.375000e-01	                   0	             1.0	          1.250100e-01	      5.005518e-01	              valid	
   ER07LF30_3	   LeftVertical	       PracticeBlock	                    0	           30	            2	          horizontal	        30	          horizontal	             correct	                   1	   1.284514e+00	        5.000000e-01	                   0	             2.0	          2.500796e-01	      5.006769e-01	              valid	
   ER07LF30_3	   LeftVertical	       PracticeBlock	                    0	           15	            3	            vertikal	        15	            vertikal	             correct	                   1	   7.019080e-01	        5.000000e-01	                   0	             3.0	          1.250284e-01	      5.005793e-01	              valid	
   ER07LF30_3	   LeftVertical	       PracticeBlock	                    0	           90	            4	          horizontal	        90	          horizontal	             correct	                   1	   7.183013e-01	        5.000000e-01	                   0	             4.0	          7.499321e-01	      5.008743e-01	              valid	
   ER07LF30_3	   LeftVertical	       PracticeBlock	                    0	           45	            5	            vertikal	        45	            vertikal	             correct	                   1	   3.927375e-01	        5.000000e-01	                   0	             5.0	          3.747975e-01	      5.009064e-01	              valid	
   ER07LF30_3	   LeftVertical	       PracticeBlock	                    0	           60	            6	            vertikal	        60	            vertikal	             correct	        9.700000e-01	   2.926770e-01	        4.991000e-01	                   0	             6.0	          4.997203e-01	      5.007286e-01	              valid	
   ER07LF30_3	   LeftVertical	       PracticeBlock	                    0	           90	            7	            vertikal	        90	            vertikal	             correct	                   1	   3.933247e-01	        5.000000e-01	                   0	             7.0	          7.501021e-01	      5.008232e-01	              valid	
   ER07LF30_3	   LeftVertical	       PracticeBlock	                    0	           60	            8	          horizontal	        60	          horizontal	             correct	                   1	   6.019141e-01	        5.000000e-01	                   0	             8.0	          5.000200e-01	      5.000866e-01	              valid	
   ER07LF30_3	   LeftVertical	       PracticeBlock	                    0	           45	            9	          horizontal	        45	          horizontal	             correct	                   1	   9.589980e-01	        5.000000e-01	                   0	             9.0	          3.752193e-01	      5.006927e-01	              valid	
   ER07LF30_3	   LeftVertical	       PracticeBlock	                    0	           30	           10	            vertikal	        30	            vertikal	             correct	                   1	   3.678051e-01	        5.000000e-01	                   0	            10.0	          2.502794e-01	      5.005513e-01	              valid	
