participantID	          group	               block	experimentBlockNumber	    condition	  trialNumber	            stimulus	    frames	            decision	     responseCorrect	          confidence	   confidenceRT	              points	         totalPoints	sumCorrectTrials	      stimulusDuration	      maskDuration	validOrInvalidTrial	
 IG05NS23_3  	 LeftHorizontal	       PracticeBlock	                    0	           30	            1	            vertikal	        30	            vertikal	             correct	        8.400000e-01	   7.265465e-01	        4.744000e-01	                   0	             1.0	          2.498400e-01	      5.005482e-01	              valid	
 IG05NS23_3  	 LeftHorizontal	       PracticeBlock	                    0	           45	            2	            vertikal	        45	            vertikal	             correct	                   1	   4.922619e-01	        5.000000e-01	                   0	             2.0	          3.750316e-01	      5.007766e-01	              valid	
 IG05NS23_3  	 LeftHorizontal	       PracticeBlock	                    0	           30	            3	          horizontal	        30	          horizontal	             correct	                   1	   3.014114e-01	        5.000000e-01	                   0	             3.0	          2.501254e-01	      5.006144e-01	              valid	
 IG05NS23_3  	 LeftHorizontal	       PracticeBlock	                    0	           15	            4	            vertikal	        15	            vertikal	             correct	                   1	   2.341810e-01	        5.000000e-01	                   0	             4.0	          1.250563e-01	      5.007481e-01	              valid	
 IG05NS23_3  	 LeftHorizontal	       PracticeBlock	                    0	           90	            5	          horizontal	        90	          horizontal	             correct	                   1	   2.179562e-01	        5.000000e-01	                   0	             5.0	          7.499569e-01	      5.006800e-01	              valid	
 IG05NS23_3  	 LeftHorizontal	       PracticeBlock	                    0	           90	            6	            vertikal	        90	            vertikal	             correct	                   1	   2.429794e-01	        5.000000e-01	                   0	             6.0	          7.499316e-01	      5.007466e-01	              valid	
 IG05NS23_3  	 LeftHorizontal	       PracticeBlock	                    0	           60	            7	            vertikal	        60	            vertikal	             correct	                   1	   3.690957e-01	        5.000000e-01	                   0	             7.0	          5.001232e-01	      4.998620e-01	              valid	
 IG05NS23_3  	 LeftHorizontal	       PracticeBlock	                    0	           45	            8	          horizontal	        45	          horizontal	             correct	                   1	   7.596126e-02	        5.000000e-01	                   0	             8.0	          3.751156e-01	      5.007065e-01	              valid	
 IG05NS23_3  	 LeftHorizontal	       PracticeBlock	                    0	           60	            9	          horizontal	        60	          horizontal	             correct	        9.900000e-01	   1.354532e-01	        4.999000e-01	                   0	             9.0	          5.000213e-01	      4.998580e-01	              valid	
 IG05NS23_3  	 LeftHorizontal	       PracticeBlock	                    0	           15	           10	          horizontal	        15	          horizontal	             correct	                   1	   3.183733e-01	        5.000000e-01	                   0	            10.0	          1.250092e-01	      5.006847e-01	              valid	
 IG05NS23_3  	 LeftHorizontal	   FastPracticeBlock	                    0	            6	           11	          horizontal	         6	            vertikal	           incorrect	        6.900000e-01	   8.337983e-01	        2.390000e-02	                   0	             0.0	          4.995990e-02	      5.008036e-01	              valid	
 IG05NS23_3  	 LeftHorizontal	   FastPracticeBlock	                    0	            4	           12	            vertikal	         4	          horizontal	           incorrect	        6.000000e-01	   5.933177e-01	        1.400000e-01	                   0	             0.0	          3.314120e-02	      5.007524e-01	              valid	
 IG05NS23_3  	 LeftHorizontal	   FastPracticeBlock	                    0	           12	           13	            vertikal	        12	            vertikal	             correct	        7.800000e-01	   4.681301e-01	        4.516000e-01	                   0	             1.0	          9.988620e-02	      5.007675e-01	              valid	
