participantID	          group	               block	experimentBlockNumber	    condition	  trialNumber	            stimulus	    frames	            decision	     responseCorrect	          confidence	   confidenceRT	              points	         totalPoints	sumCorrectTrials	      stimulusDuration	      maskDuration	validOrInvalidTrial	
   NN03UT30_3	 LeftHorizontal	       PracticeBlock	                    0	           15	            1	          horizontal	        15	          horizontal	             correct	        9.900000e-01	   1.325438e+00	        4.999000e-01	                   0	             1.0	          1.250565e-01	      5.008266e-01	              valid	
   NN03UT30_3	 LeftHorizontal	       PracticeBlock	                    0	           45	            2	            vertikal	        45	            vertikal	             correct	                   1	   5.343496e-01	        5.000000e-01	                   0	             2.0	          3.751593e-01	      5.005044e-01	              valid	
   NN03UT30_3	 LeftHorizontal	       PracticeBlock	                    0	           90	            3	            vertikal	        90	            vertikal	             correct	                   1	   4.340032e-01	        5.000000e-01	                   0	             3.0	          7.500334e-01	      5.006628e-01	              valid	
   NN03UT30_3	 LeftHorizontal	       PracticeBlock	                    0	           60	            4	            vertikal	        60	            vertikal	             correct	                   1	   4.176138e-01	        5.000000e-01	                   0	             4.0	          5.001718e-01	      5.006394e-01	              valid	
   NN03UT30_3	 LeftHorizontal	       PracticeBlock	                    0	           60	            5	          horizontal	        60	          horizontal	             correct	                   1	   2.928970e-01	        5.000000e-01	                   0	             5.0	          5.000565e-01	      5.005770e-01	              valid	
   NN03UT30_3	 LeftHorizontal	       PracticeBlock	                    0	           90	            6	          horizontal	        90	          horizontal	             correct	                   1	   2.849459e-01	        5.000000e-01	                   0	             6.0	          7.499229e-01	      5.006682e-01	              valid	
   NN03UT30_3	 LeftHorizontal	       PracticeBlock	                    0	           15	            7	            vertikal	        15	            vertikal	             correct	                   1	   3.259322e-01	        5.000000e-01	                   0	             7.0	          1.247379e-01	      5.007552e-01	              valid	
   NN03UT30_3	 LeftHorizontal	       PracticeBlock	                    0	           45	            8	          horizontal	        45	          horizontal	             correct	                   1	   3.429736e-01	        5.000000e-01	                   0	             8.0	          3.748088e-01	      5.008540e-01	              valid	
   NN03UT30_3	 LeftHorizontal	       PracticeBlock	                    0	           30	            9	            vertikal	        30	            vertikal	             correct	                   1	   2.346912e-01	        5.000000e-01	                   0	             9.0	          2.501328e-01	      5.008155e-01	              valid	
   NN03UT30_3	 LeftHorizontal	       PracticeBlock	                    0	           30	           10	          horizontal	        30	          horizontal	             correct	                   1	   4.767549e-01	        5.000000e-01	                   0	            10.0	          2.500145e-01	      5.003410e-01	              valid	
   NN03UT30_3	 LeftHorizontal	   FastPracticeBlock	                    0	           12	           11	            vertikal	        12	            vertikal	             correct	                   1	   3.191111e-01	        5.000000e-01	                   0	             1.0	          1.000790e-01	      5.000415e-01	              valid	
   NN03UT30_3	 LeftHorizontal	   FastPracticeBlock	                    0	           12	           12	          horizontal	        12	          horizontal	             correct	                   1	   5.010886e-01	        5.000000e-01	                   0	             2.0	          1.002304e-01	      5.006706e-01	              valid	
   NN03UT30_3	 LeftHorizontal	   FastPracticeBlock	                    0	            2	           13	            vertikal	         2	            vertikal	             correct	        6.500000e-01	   2.410024e+00	        3.775000e-01	                   0	             3.0	          1.643160e-02	      5.002117e-01	              valid	
   NN03UT30_3	 LeftHorizontal	   FastPracticeBlock	                    0	            6	           14	          horizontal	         6	          horizontal	             correct	        8.000000e-01	   2.326440e+00	        4.600000e-01	                   0	             4.0	          4.980670e-02	      5.007200e-01	              valid	
   NN03UT30_3	 LeftHorizontal	   FastPracticeBlock	                    0	            2	           15	          horizontal	         2	            vertikal	           incorrect	        6.500000e-01	   2.168856e+00	        7.750000e-02	                   0	             4.0	          1.652150e-02	      4.999875e-01	              valid	
   NN03UT30_3	 LeftHorizontal	   FastPracticeBlock	                    0	            4	           16	          horizontal	         4	          horizontal	             correct	        6.500000e-01	   1.501851e+00	        3.775000e-01	                   0	             5.0	          3.348820e-02	      5.005027e-01	              valid	
   NN03UT30_3	 LeftHorizontal	   FastPracticeBlock	                    0	            6	           17	            vertikal	         6	            vertikal	             correct	                   1	   2.868070e+00	        5.000000e-01	                   0	             6.0	          5.006110e-02	      4.999753e-01	              valid	
   NN03UT30_3	 LeftHorizontal	   FastPracticeBlock	                    0	            8	           18	            vertikal	         8	            vertikal	             correct	        9.500000e-01	   2.510285e+00	        4.975000e-01	                   0	             7.0	          6.670470e-02	      5.005037e-01	              valid	
   NN03UT30_3	 LeftHorizontal	   FastPracticeBlock	                    0	            8	           19	          horizontal	         8	          horizontal	             correct	        8.800000e-01	   1.534168e+00	        4.856000e-01	                   0	             8.0	          6.680600e-02	      5.007791e-01	              valid	
   NN03UT30_3	 LeftHorizontal	   FastPracticeBlock	                    0	            4	           20	            vertikal	         4	          horizontal	           incorrect	        7.700000e-01	   5.596365e-01	       -9.290000e-02	                   0	             8.0	          3.337390e-02	      5.004470e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            4	           21	            vertikal	         4	            vertikal	             correct	        6.500000e-01	   3.209898e+00	        3.775000e-01	        3.775000e-01	             1.0	          3.331970e-02	      5.006850e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            1	           22	          horizontal	         1	          horizontal	             correct	        7.500000e-01	   2.535288e+00	        4.375000e-01	        8.150000e-01	             2.0	          8.288100e-03	      5.009300e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            3	           23	            vertikal	         3	            vertikal	             correct	        6.000000e-01	   2.668584e+00	        3.400000e-01	        1.155000e+00	             3.0	          2.486980e-02	      5.007523e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            2	           24	            vertikal	         2	          horizontal	           incorrect	        6.500000e-01	   3.168116e+00	        7.750000e-02	        1.232500e+00	             3.0	          1.664210e-02	      5.009005e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            3	           25	            vertikal	         3	          horizontal	           incorrect	        8.000000e-01	   3.359147e+00	       -1.400000e-01	        1.092500e+00	             3.0	          2.512120e-02	      5.005877e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            6	           26	            vertikal	         6	          horizontal	           incorrect	        9.000000e-01	   3.702202e+00	       -3.100000e-01	        7.825000e-01	             3.0	          5.007950e-02	      4.999177e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            2	           27	            vertikal	         2	            vertikal	             correct	        7.000000e-01	   3.851830e+00	        4.100000e-01	        1.192500e+00	             4.0	          1.689170e-02	      4.997143e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            1	           28	          horizontal	         1	          horizontal	             correct	        7.500000e-01	   2.076698e+00	        4.375000e-01	        1.630000e+00	             5.0	          8.167800e-03	      5.008805e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            6	           29	          horizontal	         6	          horizontal	             correct	        8.000000e-01	   2.834919e+00	        4.600000e-01	        2.090000e+00	             6.0	          4.991140e-02	      5.000908e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            3	           30	            vertikal	         3	            vertikal	             correct	        6.000000e-01	   2.943052e+00	        3.400000e-01	        2.430000e+00	             7.0	          2.502380e-02	      5.001270e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            4	           31	          horizontal	         4	          horizontal	             correct	        7.500000e-01	   4.025959e+00	        4.375000e-01	        2.867500e+00	             8.0	          3.368000e-02	      5.005711e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            6	           32	            vertikal	         6	          horizontal	           incorrect	                   1	   3.017619e+00	       -5.000000e-01	        2.367500e+00	             8.0	          5.026140e-02	      5.005661e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            4	           33	          horizontal	         4	          horizontal	             correct	        8.500000e-01	   3.109733e+00	        4.775000e-01	        2.845000e+00	             9.0	          3.320540e-02	      5.005913e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            1	           34	            vertikal	         1	          horizontal	           incorrect	        6.000000e-01	   3.642373e+00	        1.400000e-01	        2.985000e+00	             9.0	          8.193100e-03	      5.008015e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            4	           35	            vertikal	         4	            vertikal	             correct	        7.000000e-01	   2.784779e+00	        4.100000e-01	        3.395000e+00	            10.0	          3.317990e-02	      5.007552e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            2	           36	          horizontal	         2	          indecisive	          indecisive	        5.000000e-01	   1.434900e+00	        2.500000e-01	        3.645000e+00	            10.5	          1.684650e-02	      5.005931e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            2	           37	          horizontal	         2	          horizontal	             correct	        7.000000e-01	   2.026466e+00	        4.100000e-01	        4.055000e+00	            11.5	          1.681100e-02	      5.000486e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            4	           38	            vertikal	         4	            vertikal	             correct	        6.000000e-01	   3.351992e+00	        3.400000e-01	        4.395000e+00	            12.5	          3.337130e-02	      5.008927e-01	              valid	
   NN03UT30_3	 LeftHorizontal	     ExperimentBlock	                    1	            3	           39	          horizontal	         3	          horizontal	             correct	        6.000000e-01	   1.567314e+00	        3.400000e-01	        4.735000e+00	            13.5	          2.527360e-02	      5.006130e-01	              valid	
